epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
126,13244.6,0.79509,0.39923,0.00566,0.96338,0.94766,0.9762,0.81946,0.7361,0.46616,0.00719,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,13349,0.7955,0.39756,0.00563,0.96231,0.94597,0.97628,0.8202,0.73433,0.46916,0.00718,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,13453.3,0.78746,0.39379,0.0056,0.96052,0.94934,0.97621,0.81974,0.73466,0.46853,0.00719,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,13557.5,0.78979,0.39409,0.00562,0.96024,0.94972,0.97619,0.81912,0.73484,0.46917,0.00719,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,13661.7,0.78553,0.38937,0.00559,0.96441,0.94566,0.9765,0.81835,0.73454,0.46645,0.0072,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,13766,0.78772,0.39701,0.00558,0.9693,0.94782,0.97677,0.81883,0.73503,0.46425,0.0072,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,13870.3,0.78834,0.39245,0.0056,0.96346,0.95047,0.9768,0.81918,0.73457,0.46569,0.0072,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,13974.6,0.77858,0.38863,0.00554,0.96236,0.94972,0.97682,0.8199,0.73438,0.46531,0.00719,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,14079,0.77734,0.39166,0.00555,0.96277,0.95097,0.97681,0.8198,0.73309,0.4643,0.00719,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,14183.3,0.78035,0.38935,0.00549,0.9618,0.95084,0.97673,0.81971,0.73269,0.46641,0.00717,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,14287.6,0.77703,0.38234,0.0055,0.96354,0.95205,0.97649,0.82006,0.73179,0.46372,0.00717,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
