epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,22447.6,0.81765,0.41553,0.00584,0.9668,0.94897,0.97498,0.80864,0.75977,0.44374,0.00736,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,22658.7,0.82381,0.42337,0.00588,0.96731,0.94934,0.97497,0.80998,0.75904,0.44127,0.00735,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,22869.8,0.81731,0.4197,0.00586,0.96714,0.95009,0.97455,0.8088,0.75722,0.44611,0.00732,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,23081.7,0.81506,0.41565,0.00582,0.96727,0.94822,0.97445,0.80857,0.75586,0.44615,0.00731,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,23293.9,0.81082,0.41551,0.0058,0.96413,0.94747,0.97445,0.80813,0.75465,0.45607,0.00729,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,23506.2,0.81261,0.41405,0.00575,0.96383,0.95047,0.97476,0.80894,0.7556,0.44961,0.0073,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,23718.5,0.80936,0.41482,0.0057,0.96756,0.94597,0.97468,0.80993,0.7546,0.44733,0.00729,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,23930.3,0.81717,0.42736,0.00584,0.96598,0.94409,0.97447,0.81134,0.75375,0.44528,0.00727,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,24143.3,0.81803,0.42474,0.00579,0.96526,0.94875,0.97448,0.81075,0.75353,0.44794,0.00727,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,24355.5,0.80918,0.42452,0.00578,0.96529,0.94966,0.97472,0.81131,0.7562,0.44416,0.0073,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,24567.7,0.80847,0.42475,0.00581,0.96544,0.95009,0.97501,0.81098,0.7562,0.44661,0.0073,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,24779.9,0.80368,0.41565,0.00578,0.9674,0.94655,0.97519,0.81104,0.75589,0.4431,0.0073,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,24991.6,0.80447,0.40197,0.00573,0.96673,0.94784,0.97537,0.81158,0.75493,0.44356,0.0073,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,25202.8,0.80102,0.40647,0.00575,0.96898,0.9495,0.97552,0.81247,0.75507,0.4429,0.0073,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,25413.9,0.80076,0.40779,0.00566,0.96478,0.95009,0.97426,0.81233,0.75406,0.44428,0.00728,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,25626.4,0.80272,0.4065,0.00571,0.96622,0.95084,0.97424,0.81277,0.75468,0.44473,0.00728,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,25837.5,0.80673,0.40498,0.00573,0.96527,0.94891,0.9741,0.81211,0.75445,0.444,0.00728,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,26050.4,0.79153,0.40692,0.00561,0.96434,0.94559,0.97412,0.81195,0.75325,0.44749,0.00727,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,26262.5,0.79933,0.40354,0.00569,0.96486,0.94897,0.97423,0.81199,0.75387,0.44542,0.00727,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,26474.1,0.79512,0.40402,0.0057,0.96329,0.95122,0.97426,0.812,0.75398,0.44743,0.00728,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
